       G      A      S      P      V      T      I      L      N      D      Q      E      M     H     m     F     R      Y     k      W   
    G  12499  14363  9524   4904   13976  8698   11990  17487  6795   9328   7045   12468  3855  4050  1347  7490  10561  6362  10069  3051
    A  17206  23151  12849  8414   15988  11433  14242  27806  7707   12906  11402  15660  4698  4793  1615  8415  15800  4702  9973   3958
    S  12539  12899  8216   6359   10112  7117   7038   16188  4763   7785   6507   8631   2349  3619  844   5210  9990   3936  5167   2385
    P  8645   10073  5212   4157   9247   5104   4623   12850  3185   7118   6013   8993   1809  2663  641   4443  6051   3025  3794   1859
    V  11182  16756  10936  7397   13675  10360  11196  17565  7086   9859   5903   11015  3639  3309  1248  6009  10661  4246  7995   2403
    T  10862  12037  6873   7907   9452   6931   7315   17835  3944   6706   5567   7139   2112  3226  696   4894  8945   2696  3648   2002
    I  10792  15837  9718   7054   9813   8846   8555   12301  7126   9529   4768   9058   2131  3257  736   4946  8864   3939  6109   1718
    L  16581  27765  17050  14262  17155  15774  14274  28902  11386  14370  10993  15397  4977  5993  1743  9977  18017  6478  11535  3506
    N  7946   8991   5066   5413   6636   4831   6148   9179   4241   5349   4352   5577   1599  2292  556   3470  5954   3067  4016   1579
    D  9486   13375  7139   5678   10054  6487   9420   12301  5900   8007   4347   10080  2275  2633  784   5477  7600   5046  6526   2132
    Q  7628   11677  6015   5480   7305   5533   6235   13459  3848   4702   8912   6351   2039  3422  683   3880  8765   3090  4818   1882
    E  9770   14052  8109   5534   10318  7856   9650   16926  6734   6723   9526   10390  3360  3856  1176  5015  10977  4193  9007   2274
    M  3378   5094   3279   2467   3567   3319   2645   5768   2029   2301   2379   2485   1214  962   402   1506  3021   980   2368   476 
    H  4431   4927   3109   3550   3408   2679   3618   5946   2318   3141   3100   3152   808   1989  306   2744  3657   2443  2038   1044
    m  1154   1777   1127   853    1246   1094   936    2031   670    802    785    867    462   345   116   520   1046   330   806    163 
    F  7205   8749   7492   3768   5803   6015   6168   7876   4405   6032   2612   4681   1523  2056  541   3750  5469   3008  3158   1511
    R  3807   5189   3179   5441   4383   2888   3896   7340   2463   3640   3467   4630   1191  1845  366   2901  3884   2500  2777   1162
    Y  5404   6066   4414   3482   4070   3649   3570   7530   2583   4142   4106   3458   972   2023  327   2856  5458   2459  2387   1089
    k  7362   10353  5609   5468   7513   6400   6282   11313  4420   5184   5233   7049   1862  2341  651   2872  7454   2770  5453   1103
    W  2141   2522   1978   1661   2229   1382   1915   5668   1195   1656   3453   1563   781   1171  247   1594  3179   1120  1298   598 
nterm  6028   7844   4824   0      6876   4451   6054   11014  3790   5529   5343   6928   6097  2799  2151  4385  5967   3826  4330   1593
cterm  384    598    366    170    279    61     224    449    222    252    392    510    69    236   21    214   95595  126   621    88  
